nm; %R
1200.000000; 7.091634
1190.000000; 7.768021
1180.000000; 8.474414
1170.000000; 9.282365
1160.000000; 10.068253
1150.000000; 10.619945
1140.000000; 10.970275
1130.000000; 10.895677
1120.000000; 10.446198
1110.000000; 9.706577
1100.000000; 8.642000
1090.000000; 7.645731
1080.000000; 6.750317
1070.000000; 6.253593
1060.000000; 6.317279
1050.000000; 7.022422
1040.000000; 8.175816
1030.000000; 9.370619
1020.000000; 10.472947
1010.000000; 11.151637
1000.000000; 11.231333
990.000000; 10.539486
980.000000; 9.287274
970.000000; 7.727008
960.000000; 6.468658
950.000000; 6.064843
940.000000; 6.573276
930.000000; 7.850452
920.000000; 9.475659
910.000000; 10.701408
900.000000; 11.081655
890.000000; 10.390131
880.000000; 8.943725
870.000000; 7.256689
860.000000; 6.376163
850.000000; 6.795919
840.000000; 8.018275
830.000000; 9.506620
820.000000; 10.160076
810.000000; 10.003281
800.000000; 8.422188
790.000000; 6.722725
780.000000; 6.119350
770.000000; 6.900836
760.000000; 8.142456
750.000000; 8.485250
740.000000; 7.520419
730.000000; 6.001024
720.000000; 4.924393
710.000000; 4.694994
700.000000; 4.892896
690.000000; 4.956525
680.000000; 4.749205
670.000000; 4.503086
660.000000; 4.175321
650.000000; 3.887615
640.000000; 4.051854
630.000000; 4.360306
620.000000; 4.437087
610.000000; 4.167193
600.000000; 3.772299
590.000000; 3.938671
580.000000; 4.456907
570.000000; 4.333756
560.000000; 3.794157
550.000000; 3.945836
540.000000; 4.527002
530.000000; 4.178206
520.000000; 3.766884
510.000000; 4.349702
500.000000; 4.338712
490.000000; 3.805395
480.000000; 4.298807
470.000000; 4.246283
460.000000; 3.792293
450.000000; 4.557214
440.000000; 3.866646
430.000000; 4.509513
420.000000; 4.084458
410.000000; 4.525535
400.000000; 4.131545
390.000000; 4.657392
380.000000; 4.135464
370.000000; 4.591632
360.000000; 4.424719
350.000000; 4.320437
340.000000; 4.497936
330.000000; 4.532246
320.000000; 4.445548
310.000000; 4.503555
300.000000; 4.468409
